Fund Holdings as of,"10/Jan/2025"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","114,424,240.00","8.17","114,424,240.00","204,329.00","560.00","United States","New York Stock Exchange Inc.","USD"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","106,392,067.01","7.59","106,392,067.01","204,329.00","520.69","United States","New York Stock Exchange Inc.","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","85,607,405.10","6.11","85,607,405.10","204,338.00","418.95","United States","NASDAQ","USD"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","79,672,072.05","5.69","79,672,072.05","204,345.00","389.89","United States","New York Stock Exchange Inc.","USD"
"CAT","CATERPILLAR INC","Industrials","Equity","71,725,095.00","5.12","71,725,095.00","204,345.00","351.00","United States","New York Stock Exchange Inc.","USD"
"SHW","SHERWIN WILLIAMS","Materials","Equity","67,466,545.20","4.82","67,466,545.20","204,345.00","330.16","United States","New York Stock Exchange Inc.","USD"
"CRM","SALESFORCE INC","Information Technology","Equity","64,952,011.80","4.64","64,952,011.80","204,348.00","317.85","United States","New York Stock Exchange Inc.","USD"
"V","VISA INC CLASS A","Financials","Equity","62,880,846.21","4.49","62,880,846.21","204,351.00","307.71","United States","New York Stock Exchange Inc.","USD"
"AXP","AMERICAN EXPRESS","Financials","Equity","59,938,788.00","4.28","59,938,788.00","204,360.00","293.30","United States","New York Stock Exchange Inc.","USD"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","57,692,871.60","4.12","57,692,871.60","204,360.00","282.31","United States","New York Stock Exchange Inc.","USD"
"AMGN","AMGEN INC","Health Care","Equity","53,588,536.11","3.83","53,588,536.11","204,357.00","262.23","United States","NASDAQ","USD"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","49,020,552.81","3.50","49,020,552.81","204,363.00","239.87","United States","New York Stock Exchange Inc.","USD"
"AAPL","APPLE INC","Information Technology","Equity","48,404,323.95","3.46","48,404,323.95","204,367.00","236.85","United States","NASDAQ","USD"
"TRV","TRAVELERS COMPANIES INC","Financials","Equity","47,500,092.09","3.39","47,500,092.09","204,363.00","232.43","United States","New York Stock Exchange Inc.","USD"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","44,910,087.75","3.21","44,910,087.75","204,369.00","219.75","United States","New York Stock Exchange Inc.","USD"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","44,745,424.62","3.19","44,745,424.62","204,373.00","218.94","United States","NASDAQ","USD"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","44,591,053.92","3.18","44,591,053.92","204,368.00","218.19","United States","NASDAQ","USD"
"BA","BOEING","Industrials","Equity","35,156,456.00","2.51","35,156,456.00","204,398.00","172.00","United States","New York Stock Exchange Inc.","USD"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","32,408,395.52","2.31","32,408,395.52","204,392.00","158.56","United States","New York Stock Exchange Inc.","USD"
"CVX","CHEVRON CORP","Energy","Equity","31,301,356.58","2.23","31,301,356.58","204,397.00","153.14","United States","New York Stock Exchange Inc.","USD"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","29,036,779.88","2.07","29,036,779.88","204,398.00","142.06","United States","New York Stock Exchange Inc.","USD"
"NVDA","NVIDIA CORP","Information Technology","Equity","27,782,042.65","1.98","27,782,042.65","204,415.00","135.91","United States","NASDAQ","USD"
"MMM","3M","Industrials","Equity","26,821,948.20","1.91","26,821,948.20","204,420.00","131.21","United States","New York Stock Exchange Inc.","USD"
"DIS","WALT DISNEY","Communication","Equity","22,212,623.30","1.59","22,212,623.30","204,442.00","108.65","United States","New York Stock Exchange Inc.","USD"
"MRK","MERCK & CO INC","Health Care","Equity","20,292,059.50","1.45","20,292,059.50","204,454.00","99.25","United States","New York Stock Exchange Inc.","USD"
"WMT","WALMART INC","Consumer Staples","Equity","19,016,547.00","1.36","19,016,547.00","204,479.00","93.00","United States","New York Stock Exchange Inc.","USD"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","14,560,471.20","1.04","14,560,471.20","204,501.00","71.20","United States","New York Stock Exchange Inc.","USD"
"KO","COCA-COLA","Consumer Staples","Equity","12,491,257.80","0.89","12,491,257.80","204,540.00","61.07","United States","New York Stock Exchange Inc.","USD"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","12,015,971.88","0.86","12,015,971.88","204,562.00","58.74","United States","NASDAQ","USD"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","7,737,929.93","0.55","7,737,929.93","204,653.00","37.81","United States","New York Stock Exchange Inc.","USD"
"USD","USD CASH","Cash and/or Derivatives","Cash","3,295,773.68","0.24","3,295,773.68","3,295,774.00","100.00","United States","-","USD"
"ICSUAGD","BLK ICS USD LIQ AGENCY DIS","Cash and/or Derivatives","Money Market","2,847,011.88","0.20","2,847,011.88","2,847,012.00","1.00","Ireland","-","USD"
"MLIFT","CASH COLLATERAL USD MLIFT","Cash and/or Derivatives","Cash Collateral and Margins","315,000.00","0.02","315,000.00","315,000.00","100.00","United States","-","USD"
"GBP","GBP CASH","Cash and/or Derivatives","Cash","55,337.03","0.00","55,337.03","45,249.00","122.30","United Kingdom","-","GBP"
"EUR","EUR CASH","Cash and/or Derivatives","Cash","873.72","0.00","873.72","852.00","102.49","European Union","-","EUR"
"DMH5","DJIA MINI e-CBOT MAR 25","Cash and/or Derivatives","Futures","0.00","0.00","6,113,200.00","29.00","42,160.00","-","Chicago Board Of Trade","USD"
 